split,base_name,Classic_IoU,Classic_Dice,Classic_Precision,Classic_Recall,YOLO_IoU,YOLO_Dice,YOLO_Precision,YOLO_Recall
train,70nm_R_50nm_pitch_ETD_001,0.20095215829631677,0.33465472693165327,0.22142857142857142,0.6848471678980154,0.8127199491202035,0.8966856127055411,0.8695336599528216,0.9255879086387561
train,70nm_R_50nm_pitch_ETD_003,0.4645601528724572,0.6344022838001027,0.6087354158157376,0.6623288796143331,0.370638640344648,0.5408261950815142,0.6691167044143412,0.453815610236791
train,70nm_R_50nm_pitch_ETD_005,0.5509683710743604,0.7104830522013843,0.7909896263655558,0.6448504579345701,0.6363309324985266,0.7777533503286012,0.7777569883620851,0.7777497123291516
train,70nm_R_50nm_pitch_ETD_006,0.5663367334935385,0.7231353531885675,0.8087981184602093,0.6538804811796662,0.6547833618126917,0.7913825784366424,0.7698849562393351,0.814115250291036
train,Ag_1e-8_008,0.5146357274646366,0.6795504927459889,0.9527487575585063,0.5281148988068332,0.7485065118372766,0.8561666848478238,0.876541224402273,0.8367178105090788
train,Ag_1e-8_009,0.7067311943316258,0.828169305956102,0.8995903176913727,0.7672547852631175,0.6876104342408209,0.8148923712363102,0.7417664356227683,0.9040131574737138
train,Ag_1e-8_010,0.5622988660679685,0.7198352098701523,0.7441274513082935,0.6970788816826978,0.43056909403669724,0.6019549783810053,0.5785038808959766,0.6273877035226786
train,Ag_1e-8_011,0.5537458487985935,0.7127881940624557,0.8883326282141681,0.5951749804469127,0.5284925765977564,0.6915212866445427,0.7369580710298135,0.6513618922139344
train,Ag_1e-8_012,0.6988357188634907,0.8227231286742746,0.80828151381625,0.8376901901367875,0.6168912229348715,0.7630584100953091,0.6531409039118876,0.9174580141268859
train,ETD_097,0.5568878589114886,0.7153859614536933,0.6482111102636872,0.798093270599399,0.6953812866697726,0.8203243625930376,0.7756628203998943,0.8704432231535664
valid,70nm_R_50nm_pitch_ETD_004,0.5282377182147797,0.6913030766337109,0.70972071396889,0.6738171560921952,0.40186861931932993,0.573332784229745,0.7752587908450225,0.45485898082836285
valid,Ag_1e-8_017,0.5950182700622019,0.7460958676529738,0.8664383097981343,0.6551060519203996,0.4485984466990665,0.6193551397508282,0.5690778755294884,0.6793772008844484
test,70nm_R_50nm_pitch_ETD_002,0.3805071751523491,0.5512570771106022,0.4216272261527202,0.7959831562325229,0.533122211599745,0.6954725560246834,0.5746704452745931,0.8805803204263578
test,Ag_1e-8_007,0.7519559757524754,0.8584188029376776,0.8921434031732164,0.8271510295000398,0.6092385871786412,0.7571762099574981,0.6562390605607358,0.8948080219279531
